disclosure_year,disclosure_date,transaction_date,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,party,,
2021,2021-10-04,2021-09-27,BP,BP plc,purchase,"$8,001 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,FALSE,Republican,,
2021,2021-10-04,2021-09-13,XOM,Exxon Mobil Corporation,purchase,"$8,001 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,FALSE,Republican,,
2021,2021-10-04,2021-09-10,ILPT,Industrial Logistics Properties Trust - Common Shares of Beneficial Interest,purchase,"$32,501 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,FALSE,Republican,,
2021,2021-10-04,2021-09-28,PM,Phillip Morris International Inc,purchase,"$32,501 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,FALSE,Republican,,
2021,2021-10-04,2021-09-17,BLK,BlackRock Inc,sale_partial,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019570.pdf,FALSE,Democrat,,
2021,2021-12-01,2021-12-01,AXP,American Express Company,purchase,"$8,001 ",Hon. Aston Donald McEachin,VA04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019930.pdf,FALSE,Democrat,,
2021,2021-12-01,2021-11-30,KPLTW,Katapult Holdings Inc - Warrant,purchase,"$8,001 ",Hon. Austin Scott,GA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019915.pdf,FALSE,Republican,,
2021,2021-12-01,2021-11-18,AMD,Advanced Micro Devices Inc,sale_full,"$75,001 ",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,FALSE,Democrat,,
2021,2021-12-01,2021-11-18,AAPL,Apple Inc,sale_full,"$75,001 ",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,FALSE,Democrat,,2017-09-05
2021,2021-12-01,2021-11-24,MSFT,Microsoft Corporation,purchase,"$75,001 ",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,FALSE,Democrat,,
2021,2021-12-01,2021-11-24,MS,Morgan Stanley,purchase,"$175,001 ",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,FALSE,Democrat,,
2021,2021-12-01,2021-11-16,NEE,NextEra Energy Inc,sale_full,"$8,001 ",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,FALSE,Democrat,,
2021,2021-12-01,2021-11-16,SLVM,Sylvamo Coproration,sale_full,"$1,001 ",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,FALSE,Democrat,,
2021,2021-12-01,2021-11-18,CG,The Carlyle Group Inc,sale_full,"$75,001 ",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,FALSE,Democrat,,
2021,2021-11-02,2021-10-13,MO,Altria Group Inc,purchase,"$8,001 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE,Republican,,
2021,2021-11-02,2021-10-07,DUKH,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,sale_full,"$75,001 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE,Republican,,
2021,2021-11-02,2021-10-08,GSK,GlaxoSmithKline PLC,purchase,"$8,001 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE,Republican,,
2021,2021-11-02,2021-10-07,OLP,One Liberty Properties Inc,purchase,"$8,001 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE,Republican,,
2021,2021-11-02,2021-10-04,PPL,PPL Corporation,purchase,"$8,001 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE,Republican,,
2021,2021-11-02,2021-10-25,SCU,Sculptor Capital Management Inc Class A,purchase,"$32,501 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE,Republican,,
2021,2021-11-02,2021-10-26,SCU,Sculptor Capital Management Inc Class A,purchase,"$8,001 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE,Republican,,
2021,2021-11-02,2021-10-08,VIASP,Via Renewables Inc - 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,purchase,"$8,001 ",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE,Republican,,
2020,2020-04-28,2020-02-24,BHC,Bausch Health Companies Inc.,purchase,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-06,BAH,Booz Allen Hamilton Holding Corporation,sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE,Democrat,,
2020,2020-04-28,2020-03-23,BYD,Boyd Gaming Corporation,sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-04,CTLT,"Catalent, Inc.",purchase,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-18,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-24,CNC,Centene Corporation,purchase,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-31,DG,Dollar General Corporation,purchase,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-26,DPZ,Domino's Pizza Inc,sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE,Democrat,,
2020,2020-04-28,2020-02-05,DNKN,"Dunkin' Brands Group, Inc.",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-24,ENV,"Envestnet, Inc",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-21,ENV,"Envestnet, Inc",sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
