date,volume
1/2/2020,388023
1/3/2020,442018
1/6/2020,213013
1/7/2020,2736530
1/8/2020,363027
1/10/2020,496035
1/13/2020,2740076
1/14/2020,381027
1/15/2020,340525
1/16/2020,4572014
1/17/2020,145019
1/20/2020,8001
1/21/2020,268523
1/22/2020,80507
1/23/2020,183002
1/24/2020,318520
1/28/2020,993023
1/29/2020,1570033
1/30/2020,114009
1/31/2020,414012
2/2/2020,32501
2/3/2020,105014
2/4/2020,155011
2/5/2020,478515
2/6/2020,574010
2/7/2020,438535
2/10/2020,891061
2/11/2020,493014
2/12/2020,464006
2/13/2020,4405531
2/14/2020,488034
2/17/2020,8001
2/18/2020,425025
2/19/2020,349023
2/20/2020,2255629
2/21/2020,2033532
2/24/2020,3706055
2/25/2020,361514
2/26/2020,171010
2/27/2020,1344028
2/28/2020,1348058
3/2/2020,4885543
3/3/2020,5411018
3/4/2020,212019
3/5/2020,236519
3/6/2020,1504023
3/9/2020,234024
3/10/2020,505032
3/11/2020,755527
3/12/2020,1859530
3/13/2020,5530531
3/16/2020,1140538
3/17/2020,1287535
3/18/2020,3204792
3/19/2020,743030
3/20/2020,1214516
3/23/2020,1067090
3/24/2020,286023
3/25/2020,160517
3/27/2020,1258070
3/28/2020,32501
3/30/2020,2045018
4/1/2020,1024521
4/2/2020,1197129
4/3/2020,514549
4/6/2020,651036
4/7/2020,305529
4/8/2020,1662018
4/9/2020,1064042
4/10/2020,83002
4/13/2020,769522
4/14/2020,487516
4/15/2020,1074525
4/16/2020,398017
4/17/2020,369043
4/18/2020,80010
4/20/2020,229519
4/21/2020,74508
4/22/2020,379029
4/23/2020,311515
4/24/2020,455512
4/27/2020,494049
4/28/2020,428039
4/29/2020,1222577
4/30/2020,536553
5/1/2020,1186538
5/4/2020,168518
5/5/2020,80010
5/6/2020,16002
5/7/2020,1236541
5/8/2020,9486025
5/11/2020,1099024
5/12/2020,672510
5/13/2020,1669043
5/14/2020,72009
5/15/2020,177520
5/18/2020,492022
5/19/2020,1554048
5/20/2020,608016
5/21/2020,577014
5/22/2020,56007
5/26/2020,786030
5/27/2020,195020
5/28/2020,136514
5/29/2020,88508
6/1/2020,687531
6/2/2020,284518
6/3/2020,279527
6/4/2020,537513
6/5/2020,1298037
6/8/2020,163509
6/9/2020,1774026
6/10/2020,2039055
6/11/2020,2430535
6/12/2020,1573005
6/15/2020,287015
6/16/2020,992019
6/17/2020,881009
6/18/2020,10332517
6/19/2020,536034
6/20/2020,16002
6/21/2020,8001
6/22/2020,268523
6/23/2020,340532
6/24/2020,918021
6/25/2020,129010
6/26/2020,300520
6/29/2020,575038
6/30/2020,179511
7/1/2020,1306036
7/2/2020,2014044
7/6/2020,373009
7/7/2020,576518
7/8/2020,1436031
7/9/2020,596016
7/14/2020,3934052
7/15/2020,895013
7/17/2020,98014
7/20/2020,188506
7/21/2020,128513
7/22/2020,1145519
7/23/2020,280015
7/24/2020,257510
7/27/2020,393050
7/28/2020,7422042
7/30/2020,1010517
7/31/2020,823508
8/4/2020,1709061
8/5/2020,88508
8/6/2020,311013
8/7/2020,3805071
8/10/2020,1310549
8/11/2020,931025
8/12/2020,1415524
8/13/2020,379012
8/14/2020,524521
8/17/2020,215006
8/18/2020,105504
8/20/2020,161014
8/21/2020,8001
8/24/2020,141011
8/25/2020,301014
8/27/2020,1055530
8/28/2020,826532
8/31/2020,15670014
9/1/2020,973030
9/2/2020,15330030
9/3/2020,913017
9/4/2020,1060517
